,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Baltic Bird,Benoit De La Sayette,T:                             John & Thady Gosden                                                    66,3,83.0,,4.0,None,9,,,,,False,,0,98.0,1
1,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Sea King,John & Thady Gosden,T:                             Sir Mark Prescott Bt                                                    42,3,85.0,,6.0,None,9,,,,,False,,0,100.0,2
2,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Nova Legend,Gestut Ammerland,T:                             James Ferguson                                                    73,3,88.0,,10.0,None,9,,,,,False,,0,103.0,3
3,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Zain Nights,Luke Morris,T:                             Harry & Roger Charlton                                                    29,3,79.0,,8.5,None,9,,,,,False,,0,101.0,4
4,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Teumessias Fox,Sir Mark Prescott Bt,T:                             Andrew Balding                                                    67,3,93.0,,20.0,None,9,,,,,False,,0,100.0,5
5,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Post Impressionist,Charlie Walker - Osborne House III,T:                             William Haggas                                                    57,3,68.0,,8.0,None,9,,,,,False,,0,103.0,6
6,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Double Cherry,Theodore Ladd,T:                             Tom Ward                                                    21,3,90.0,,7.0,None,9,,,,,False,,0,102.0,7
7,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Speycaster,James Ferguson,T:                             Ralph Beckett                                                    50,3,92.0,,4.0,None,9,,,,,False,,0,103.0,8
8,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Flamborough,K K Ho,T:                             Charlie & Mark Johnston                                                    36,3,60.0,,14.0,None,8,,,,,False,,0,101.0,9
9,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819724,-,,,-,-,-,-,-,-,Haarar,Trevor Whelan,T:                             Michael Bell                                                    57,3,68.0,,12.0,None,8,,,,,False,,0,100.0,10
10,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Annie Maher,Dylan Hogan,T:                             Michael Bell                                                    57,2,57.0,,4.0,None,9,,,,,False,,0,88.0,1
11,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Belinda Bell,Michael Bell,T:                             Richard Fahey                                                    60,2,,,16.0,None,9,,,,,False,,0,,2
12,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Centrefold,The Gredley Family,T:                             Roger Varian                                                    68,2,67.0,,4.0,None,9,,,,,False,,0,81.0,3
13,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Chandeleur Island,Oisin Orr,T:                             Ed Walker                                                    42,2,,,14.0,None,9,,,,,False,,0,,4
14,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Couplet,Richard Fahey,T:                             Harry Eustace                                                    75,2,,,25.0,None,9,,,,,False,,0,,5
15,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Dakota Elegance,R A Fahey,T:                             Brian Meehan                                                    54,2,51.0,,14.0,None,9,,,,,False,,0,83.0,6
16,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Golden Bullet,Ray Dawson,T:                             Archie Watson                                                    50,2,55.0,,50.0,None,9,,,,,False,,0,73.0,7
17,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Lady Manyara,Roger Varian,T:                             K R Burke                                                    33,2,48.0,,10.0,None,9,,,,,False,,0,84.0,8
18,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Lady Ursula,Sheikh Mohammed Obaid Al Maktoum,T:                             Charlie Fellowes                                                    44,2,,,33.0,None,9,,,,,False,,0,,9
19,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Ma Famille,Hector Crouch,T:                             Clive Cox                                                    42,2,,,16.0,None,9,,,,,False,,0,,10
20,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Oneforsue,Ed Walker,T:                             Eric Alston                                                    50,2,75.0,,6.0,None,9,,,,,False,,0,93.0,11
21,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Pure Angel,Lord Lloyd Webber And A Rosen,T:                             James Horton                                                    40,2,64.0,,7.0,None,9,,,,,False,,0,65.0,12
22,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Renesmee,Pat Cosgrave,T:                             Kevin Philippart De Foy                                                    52,2,73.0,,3.5,None,9,,,,,False,,0,92.0,13
23,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Shot,Harry Eustace,T:                             Richard Hannon                                                    48,2,53.0,,50.0,None,9,,,,,False,,0,78.0,14
24,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Special Event,The Arabda Partnership,T:                             Charles Hills                                                    39,2,57.0,,50.0,None,9,,,,,False,,0,69.0,15
25,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819727,-,,,-,-,-,-,-,-,Time In Motion,George Rooke,T:                             George Boughey                                                    43,2,,,16.0,None,9,,,,,False,,0,,16
26,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Almaty Star,Ray Dawson,T:                             Roger Varian                                                    68,2,,,2.5,None,9,,,,,False,,0,,1
27,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Another Baar,Roger Varian,T:                             Adrian Paul Keatley                                                    42,2,33.0,,33.0,None,9,,,,,False,,0,72.0,2
28,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Atomic Impact,Nurlan Bizakov,T:                             K R Burke                                                    33,2,54.0,,4.0,None,9,,,,,False,,0,81.0,3
29,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Barrolo,Jason Watson,T:                             Grant Tuer                                                    24,2,37.0,,150.0,None,9,,,,,False,,0,58.0,4
30,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Blueflagflyinghigh,Adrian Paul Keatley,T:                             Michael Bell                                                    57,2,38.0,,20.0,None,9,,,,,False,,0,83.0,5
31,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Ghassan,Ontoawinner Andy Finneran Richard Porter,T:                             Richard Hannon                                                    48,2,24.0,,7.5,None,9,,,,,False,,0,85.0,6
32,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Kerdos,Clifford Lee,T:                             Clive Cox                                                    42,2,,,10.0,None,9,,,,,False,,0,,7
33,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Mutaany,K R Burke,T:                             Charles Hills                                                    39,2,65.0,,1.5,None,9,,,,,False,,0,98.0,8
34,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Royal Cay,Clipper Logistics,T:                             Richard Fahey                                                    60,2,55.0,,9.0,None,9,,,,,False,,0,72.0,9
35,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Sajwaan,Paul Hanagan,T:                             1                                                    Archie Watson                                                    50,2,47.0,,11.0,None,9,,,,,False,,0,75.0,10
36,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Scotts' Moon,Grant Tuer,T:                             Edward Bethell                                                    50,2,,,33.0,None,9,,,,,False,,0,,11
37,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819728,-,,,-,-,-,-,-,-,Think Champagne,The Weighting Game,T:                             Tony Carroll                                                    18,2,,,100.0,None,9,,,,,False,,0,,12
38,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Good Regal,Owen Lewis,T:                             Ismail Mohammed                                                    50,4,69.0,,5.5,None,10,,,,,False,,0,78.0,1
39,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Bearaway,Ismail Mohammed,T:                             Hughie Morrison                                                    47,4,44.0,,10.0,None,10,,,,,False,,0,79.0,2
40,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Cumulonimbus,Abdulla Al Mansoori,T:                             Charlie Fellowes                                                    44,3,43.0,,1.75,None,9,,,,,False,,0,80.0,3
41,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Electress,Sophie Reed,T:                             2                                                    Archie Watson                                                    50,3,66.0,,3.5,None,9,,,,,False,,0,78.0,4
42,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Typical Woman,Hughie Morrison,T:                             Ian Williams                                                    59,3,66.0,,6.5,None,9,,,,,False,,0,77.0,5
43,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Maokai,Turf Club 2020 & H Morrison,T:                             Harry & Roger Charlton                                                    29,3,54.0,,10.0,None,9,,,,,False,,0,82.0,6
44,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819729,-,,,-,-,-,-,-,-,Rainbow Jet,Mark Winn,T:                             John Mackie                                                    50,5,70.0,,14.0,None,9,,,,,False,,0,80.0,7
45,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Maketh Believeth,Hector Crouch,T:                             Harry Dunlop                                                    67,4,71.0,,12.0,None,9,,,,,False,,0,87.0,1
46,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Alghazaal,Harry Dunlop,T:                             Charlie Longsdon                                                    67,5,55.0,,18.0,None,9,,,,,False,,0,86.0,2
47,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Mercian Hymn,Haven't A Pot,T:                             Sir Mark Todd                                                    50,4,68.0,,9.0,None,9,,,,,False,,0,91.0,3
48,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Kasperenko,Finley Marsh,T:                             Eric Alston                                                    50,8,80.0,,20.0,None,9,,,,,False,,0,85.0,4
49,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Tendentious,Charlie Longsdon,T:                             David O'Meara                                                    28,4,75.0,,9.0,None,9,,,,,False,,0,88.0,5
50,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Good Soul,Bill Bailey,T:                             Hugo Palmer                                                    48,4,54.0,,25.0,None,9,,,,,False,,0,90.0,6
51,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Tralee Hills,Ray Dawson,T:                             Simon Hodgson                                                    75,8,84.0,,12.0,None,9,,,,,False,,0,89.0,7
52,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,East End Girl,Sir Mark Todd,T:                             Lucy Wadham                                                    33,5,69.0,,12.0,None,9,,,,,False,,0,83.0,8
53,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Pentland Hills,The Mercian Partnership & O T I Racing,T:                             Nicky Henderson                                                    60,7,,,2.75,None,9,,,,,False,,0,,9
54,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Lady Percival,Oisin McSweeney,T:                             Hughie Morrison                                                    47,4,45.0,,25.0,None,9,,,,,False,,0,88.0,10
55,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Ghadbbaan,Eric Alston,T:                             Mark Walford                                                    47,6,80.0,,12.0,None,9,,,,,False,,0,86.0,11
56,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Sulochana,Con Harrington,T:                             Hughie Morrison                                                    47,5,75.0,,8.0,None,8,,,,,False,,0,86.0,12
57,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Rick Blaine,Jason Watson,T:                             Shaun Lycett                                                    33,5,,,33.0,None,8,,,,,False,,0,77.0,13
58,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Clifftop Heaven,David O'Meara,T:                             Archie Watson                                                    50,5,74.0,,20.0,None,8,,,,,False,,0,84.0,14
59,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Order Of St John,Quantum Leap Racing Xiii & Partner,T:                             D J Jeffreys                                                    100,5,75.0,,16.0,None,8,,,,,False,,0,84.0,15
60,https://www.racingpost.com/racecards/23/haydock/2022-09-23/819730,-,,,-,-,-,-,-,-,Red Derek,Clifford Lee,T:                             Lisa Williamson,6,81.0,,25.0,None,8,,,,,False,,0,88.0,16
61,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Tudor City,Mr B W Harvey,T:                             A J Martin                                                    50,10,133.0,,20.0,None,11,,,,,False,,0,143.0,1
62,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Felix Desjy,A J Martin,T:                             Gordon Elliott                                                    51,9,134.0,,28.0,None,11,,,,,False,,0,150.0,2
63,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Fils D'oudairies,John Breslin,T:                             Gordon Elliott                                                    51,7,140.0,,12.0,None,11,,,,,False,,0,153.0,3
64,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,My Mate Mozzie,Mr R James,T:                             Gavin Cromwell                                                    46,6,139.0,,8.0,None,11,,,,,False,,0,149.0,4
65,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Farout,Gordon Elliott,T:                             W P Mullins                                                    52,5,136.0,,12.0,None,11,,,,,False,,0,150.0,5
66,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Vina Ardanza,A Dunlop,T:                             Gordon Elliott                                                    51,5,133.0,,22.0,None,11,,,,,False,,0,149.0,6
67,https://www.racingpost.com/racecards/190/listowel/2022-09-23/821325,-,,,-,-,-,-,-,-,Glan,Davy Russell,T:                             Gordon Elliott                                                    51,7,136.0,,10.0,None,11,,,,,False,,0,146.0,7
